0	0	1
1	0	2
0	0	3
3	0	4
0	0	5
5	0	4
6	1	7
8	1	7
0	0	7
7	0	4
9	1	10
11	1	10
0	0	10
10	0	4
12	1	13
14	1	13
0	0	13
13	0	4
0	0	15
15	0	4
0	0	16
16	0	4
17	1	18
19	1	18
0	0	18
18	0	4
20	0	1
1	0	2
20	0	3
3	0	4
20	0	5
5	0	4
6	1	21
8	1	21
20	0	21
21	0	4
9	1	22
11	1	22
20	0	22
22	0	4
12	1	23
14	1	23
20	0	23
23	0	4
20	0	15
15	0	4
20	0	16
16	0	4
17	1	24
19	1	24
20	0	24
24	0	4
26	1	27
28	1	27
25	0	27
27	0	29
11	1	30
31	1	30
25	0	30
30	0	2
32	1	33
34	1	33
25	0	33
33	0	35
36	0	3
3	0	4
36	0	5
5	0	4
6	1	37
8	1	37
36	0	37
37	0	4
9	1	38
11	1	38
36	0	38
38	0	4
12	1	39
14	1	39
36	0	39
39	0	4
36	0	15
15	0	4
36	0	16
16	0	4
17	1	40
19	1	40
36	0	40
40	0	4
